persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,model,rating_abortion,rating_death_penalty,rating_divorce,rating_euthanasia,rating_homosexuality,rating_prostitution,rating_suicide
0,Germany,39,2,2,2,2,1,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 6
5. euthanasia: 9
6. paid_sexual_services: 7
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,10,9,10,7,6
1,Germany,70,2,2,4,5,3,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 7
5. euthanasia: 9
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,9,10,10,7
2,Germany,22,2,2,4,6,2,3,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 4
5. euthanasia: 9
6. paid_sexual_services: 8
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,9,10,8,4
3,Germany,64,1,2,3,1,4,1,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 8
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,10,8
4,Germany,86,1,1,3,4,4,2,"1. homosexuality: 3
2. abortion: 9
3. divorce: 9
4. suicide: 4
5. euthanasia: 8
6. paid_sexual_services: 6
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,8,3,6,4
5,Germany,68,2,3,3,4,1,1,"1. homosexuality: 10
2. abortion: 8
3. divorce: 9
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,8,1,9,6,10,10,2
6,Germany,49,1,2,2,5,2,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 6
5. euthanasia: 9
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,9,10,10,6
7,Germany,39,1,2,4,6,4,1,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 8
5. euthanasia: 10
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,1,8
8,Germany,89,1,2,2,4,3,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,10,10,10,10,7
9,Germany,25,1,3,5,5,2,3,"1. homosexuality: 2
2. abortion: 9
3. divorce: 8
4. suicide: 3
5. euthanasia: 8
6. paid_sexual_services: 10
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,8,8,2,10,3
10,Germany,85,2,1,2,5,3,2,"1. homosexuality: 8
2. abortion: 9
3. divorce: 9
4. suicide: 5
5. euthanasia: 9
6. paid_sexual_services: 9
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,9,8,9,5
