persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,random_seed,model,rating_homosexuality,rating_abortion,rating_divorce,rating_suicide,rating_euthanasia,rating_prostitution,rating_death_penalty
0,Germany,53,1,1,2,4,4,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 5
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 3",0.3,42,gemini-2.5-flash,4,2,5,1,2,2,3
1,Germany,66,1,4,3,6,3,1,"1. homosexuality: 3
2. abortion: 4
3. divorce: 7
4. suicide: 2
5. euthanasia: 5
6. prostitution: 2
7. death_penalty: 1",0.3,42,gemini-2.5-flash,3,4,7,2,5,2,1
2,Germany,27,2,3,2,7,4,3,"1. homosexuality: 7
2. abortion: 4
3. divorce: 9
4. suicide: 3
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,7,4,9,3,7,8,1
3,Germany,35,2,4,1,9,1,3,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,1,2,1,1,1,9
4,Germany,55,1,5,3,4,3,2,"1. homosexuality: 4
2. abortion: 2
3. divorce: 7
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,4,2,7,2,3,1,1
5,Germany,80,1,4,5,10,3,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,2,4,1,1,1,8
6,Germany,18,1,1,2,1,2,2,"1. homosexuality: 3
2. abortion: 1
3. divorce: 4
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,3,1,4,2,3,1,1
7,Germany,49,1,2,5,1,2,1,"1. homosexuality: 3
2. abortion: 4
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,3,4,7,1,2,7,1
8,Germany,54,2,4,1,2,2,1,"1. homosexuality: 1
2. abortion: 3
3. divorce: 7
4. suicide: 2
5. euthanasia: 6
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,3,7,2,6,7,1
9,Germany,28,1,6,2,6,4,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 7",0.3,42,gemini-2.5-flash,3,2,4,1,2,2,7
10,Germany,54,2,5,3,5,2,3,"1. homosexuality: 8
2. abortion: 7
3. divorce: 8
4. suicide: 6
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,8,7,8,6,7,8,1
11,Germany,53,2,6,1,4,2,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. prostitution: 4
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,7,8,3,7,4,1
12,Germany,37,2,4,4,4,1,2,"1. homosexuality: 7
2. abortion: 3
3. divorce: 6
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,7,3,6,1,1,1,1
13,Germany,26,2,3,5,7,3,2,"1. homosexuality: 6
2. abortion: 4
3. divorce: 7
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,6,4,7,2,3,1,7
14,Germany,73,2,6,4,5,4,3,"1. homosexuality: 3
2. abortion: 7
3. divorce: 9
4. suicide: 4
5. euthanasia: 8
6. prostitution: 1
7. death_penalty: 2",0.3,42,gemini-2.5-flash,3,7,9,4,8,1,2
15,Germany,59,2,2,5,7,2,1,"1. homosexuality: 3
2. abortion: 1
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 3
7. death_penalty: 7",0.3,42,gemini-2.5-flash,3,1,4,1,2,3,7
16,Germany,81,2,7,5,8,2,2,"1. homosexuality: 4
2. abortion: 3
3. divorce: 9
4. suicide: 5
5. euthanasia: 7
6. prostitution: 9
7. death_penalty: 8",0.3,42,gemini-2.5-flash,4,3,9,5,7,9,8
17,Germany,51,2,6,3,7,2,3,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 6
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,2,4,1,2,6,8
18,Germany,25,2,1,4,3,2,2,"1. homosexuality: 6
2. abortion: 4
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,6,4,7,1,2,7,1
19,Germany,68,1,2,2,4,4,2,"1. homosexuality: 1
2. abortion: 3
3. divorce: 7
4. suicide: 6
5. euthanasia: 7
6. prostitution: 5
7. death_penalty: 7",0.3,42,gemini-2.5-flash,1,3,7,6,7,5,7
20,Germany,49,1,1,3,2,1,3,"1. homosexuality: 4
2. abortion: 3
3. divorce: 7
4. suicide: 2
5. euthanasia: 3
6. prostitution: 2
7. death_penalty: 1",0.3,42,gemini-2.5-flash,4,3,7,2,3,2,1
21,Germany,56,1,3,5,10,4,3,"1. homosexuality: 1
2. abortion: 3
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. prostitution: 6
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,3,8,3,7,6,9
22,Germany,73,2,3,5,1,2,2,"1. homosexuality: 3
2. abortion: 4
3. divorce: 7
4. suicide: 3
5. euthanasia: 6
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,3,4,7,3,6,8,1
23,Germany,48,1,6,3,8,4,2,"1. homosexuality: 3
2. abortion: 4
3. divorce: 7
4. suicide: 2
5. euthanasia: 4
6. prostitution: 5
7. death_penalty: 7",0.3,42,gemini-2.5-flash,3,4,7,2,4,5,7
24,Germany,47,2,2,3,9,3,3,"1. homosexuality: 2
2. abortion: 2
3. divorce: 3
4. suicide: 2
5. euthanasia: 4
6. prostitution: 1
7. death_penalty: 6",0.3,42,gemini-2.5-flash,2,2,3,2,4,1,6
25,Germany,31,2,1,1,10,2,1,"1. homosexuality: 9
2. abortion: 4
3. divorce: 8
4. suicide: 2
5. euthanasia: 6
6. prostitution: 7
7. death_penalty: 9",0.3,42,gemini-2.5-flash,9,4,8,2,6,7,9
26,Germany,75,2,5,2,1,2,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. prostitution: 3
7. death_penalty: 1",0.3,42,gemini-2.5-flash,3,2,7,1,2,3,1
27,Germany,76,2,6,5,2,1,3,"1. homosexuality: 7
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 9
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,7,8,9,6,9,8,1
28,Germany,52,2,6,2,7,4,3,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 4
5. euthanasia: 8
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,8,9,4,8,7,1
29,Germany,38,1,1,1,9,2,3,"1. homosexuality: 9
2. abortion: 3
3. divorce: 6
4. suicide: 2
5. euthanasia: 7
6. prostitution: 3
7. death_penalty: 9",0.3,42,gemini-2.5-flash,9,3,6,2,7,3,9
30,Germany,80,2,3,2,9,3,2,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 3
6. prostitution: 6
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,2,4,1,3,6,8
31,Germany,83,1,3,1,7,4,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 9
4. suicide: 8
5. euthanasia: 9
6. prostitution: 10
7. death_penalty: 7",0.3,42,gemini-2.5-flash,9,7,9,8,9,10,7
32,Germany,58,1,7,2,7,1,1,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 6
5. euthanasia: 9
6. prostitution: 10
7. death_penalty: 7",0.3,42,gemini-2.5-flash,9,7,8,6,9,10,7
33,Germany,58,2,1,2,7,2,2,"1. homosexuality: 6
2. abortion: 3
3. divorce: 4
4. suicide: 2
5. euthanasia: 3
6. prostitution: 5
7. death_penalty: 7",0.3,42,gemini-2.5-flash,6,3,4,2,3,5,7
34,Germany,41,2,4,3,5,2,3,"1. homosexuality: 1
2. abortion: 6
3. divorce: 8
4. suicide: 5
5. euthanasia: 7
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,6,8,5,7,9,1
35,Germany,31,2,1,1,5,2,3,"1. homosexuality: 9
2. abortion: 3
3. divorce: 9
4. suicide: 1
5. euthanasia: 4
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,3,9,1,4,1,1
36,Germany,34,2,7,3,2,1,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 6
4. suicide: 1
5. euthanasia: 1
6. prostitution: 3
7. death_penalty: 1",0.3,42,gemini-2.5-flash,4,2,6,1,1,3,1
37,Germany,33,2,3,1,4,4,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. prostitution: 2
7. death_penalty: 1",0.3,42,gemini-2.5-flash,3,2,3,1,1,2,1
38,Germany,76,2,6,4,1,4,1,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 8
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,8,9,6,8,7,1
39,Germany,33,1,5,2,5,2,3,"1. homosexuality: 1
2. abortion: 4
3. divorce: 7
4. suicide: 5
5. euthanasia: 8
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,4,7,5,8,9,1
40,Germany,34,1,3,5,1,1,3,"1. homosexuality: 1
2. abortion: 3
3. divorce: 7
4. suicide: 3
5. euthanasia: 6
6. prostitution: 8
7. death_penalty: 2",0.3,42,gemini-2.5-flash,1,3,7,3,6,8,2
41,Germany,72,2,3,5,8,1,2,"1. homosexuality: 8
2. abortion: 6
3. divorce: 7
4. suicide: 3
5. euthanasia: 6
6. prostitution: 5
7. death_penalty: 8",0.3,42,gemini-2.5-flash,8,6,7,3,6,5,8
42,Germany,58,1,1,4,6,1,3,"1. homosexuality: 1
2. abortion: 2
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. prostitution: 5
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,2,6,1,2,5,8
43,Germany,79,1,5,5,3,3,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 9
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 2",0.3,42,gemini-2.5-flash,3,2,9,1,2,1,2
44,Germany,66,1,5,2,7,4,2,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 7",0.3,42,gemini-2.5-flash,1,2,3,1,2,2,7
45,Germany,85,2,2,3,2,4,3,"1. homosexuality: 8
2. abortion: 9
3. divorce: 9
4. suicide: 6
5. euthanasia: 8
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,8,9,9,6,8,7,1
46,Germany,20,2,6,1,6,4,3,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 5
5. euthanasia: 7
6. prostitution: 6
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,8,9,5,7,6,1
47,Germany,27,1,3,2,10,2,1,"1. homosexuality: 3
2. abortion: 1
3. divorce: 7
4. suicide: 1
5. euthanasia: 1
6. prostitution: 9
7. death_penalty: 9",0.3,42,gemini-2.5-flash,3,1,7,1,1,9,9
48,Germany,37,2,1,4,4,1,2,"1. homosexuality: 10
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 8
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,10,8,9,6,8,9,1
49,Germany,25,1,5,4,2,4,3,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 7
5. euthanasia: 9
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,8,9,7,9,7,1
50,Germany,50,2,1,4,4,2,3,"1. homosexuality: 6
2. abortion: 4
3. divorce: 8
4. suicide: 2
5. euthanasia: 5
6. prostitution: 3
7. death_penalty: 1",0.3,42,gemini-2.5-flash,6,4,8,2,5,3,1
51,Germany,46,1,7,3,5,2,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,7,8,3,7,9,1
52,Germany,57,1,5,4,2,1,3,"1. homosexuality: 3
2. abortion: 4
3. divorce: 4
4. suicide: 2
5. euthanasia: 4
6. prostitution: 3
7. death_penalty: 2",0.3,42,gemini-2.5-flash,3,4,4,2,4,3,2
53,Germany,83,2,3,5,5,2,3,"1. homosexuality: 8
2. abortion: 4
3. divorce: 9
4. suicide: 3
5. euthanasia: 7
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,8,4,9,3,7,1,1
54,Germany,75,2,5,1,1,2,1,"1. homosexuality: 1
2. abortion: 8
3. divorce: 9
4. suicide: 4
5. euthanasia: 9
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,8,9,4,9,9,1
55,Germany,55,1,6,5,10,3,2,"1. homosexuality: 3
2. abortion: 1
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,1,4,1,2,1,8
56,Germany,63,1,6,1,1,2,3,"1. homosexuality: 8
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 7
6. prostitution: 6
7. death_penalty: 1",0.3,42,gemini-2.5-flash,8,8,9,6,7,6,1
57,Germany,24,2,6,4,5,1,3,"1. homosexuality: 1
2. abortion: 3
3. divorce: 9
4. suicide: 4
5. euthanasia: 7
6. prostitution: 3
7. death_penalty: 7",0.3,42,gemini-2.5-flash,1,3,9,4,7,3,7
58,Germany,39,2,5,1,7,2,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 7
4. suicide: 1
5. euthanasia: 1
6. prostitution: 3
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,2,7,1,1,3,8
59,Germany,75,1,3,1,2,3,1,"1. homosexuality: 8
2. abortion: 6
3. divorce: 9
4. suicide: 4
5. euthanasia: 7
6. prostitution: 3
7. death_penalty: 1",0.3,42,gemini-2.5-flash,8,6,9,4,7,3,1
60,Germany,40,2,6,3,10,1,1,"1. homosexuality: 10
2. abortion: 7
3. divorce: 10
4. suicide: 3
5. euthanasia: 7
6. prostitution: 9
7. death_penalty: 9",0.3,42,gemini-2.5-flash,10,7,10,3,7,9,9
61,Germany,29,1,7,3,6,2,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 5
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 4",0.3,42,gemini-2.5-flash,3,2,5,1,1,1,4
62,Germany,28,2,5,5,1,1,3,"1. homosexuality: 1
2. abortion: 7
3. divorce: 10
4. suicide: 4
5. euthanasia: 8
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,7,10,4,8,9,1
63,Germany,79,2,1,4,2,3,3,"1. homosexuality: 8
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 8
6. prostitution: 7
7. death_penalty: 2",0.3,42,gemini-2.5-flash,8,7,8,3,8,7,2
64,Germany,36,1,7,3,6,3,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 8
4. suicide: 6
5. euthanasia: 8
6. prostitution: 9
7. death_penalty: 5",0.3,42,gemini-2.5-flash,9,8,8,6,8,9,5
65,Germany,81,2,7,3,10,2,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 9
4. suicide: 1
5. euthanasia: 8
6. prostitution: 6
7. death_penalty: 1",0.3,42,gemini-2.5-flash,3,2,9,1,8,6,1
66,Germany,30,1,2,1,10,2,2,"1. homosexuality: 3
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. prostitution: 5
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,1,2,1,1,5,8
67,Germany,56,2,5,1,2,2,1,"1. homosexuality: 8
2. abortion: 7
3. divorce: 9
4. suicide: 2
5. euthanasia: 7
6. prostitution: 10
7. death_penalty: 1",0.3,42,gemini-2.5-flash,8,7,9,2,7,10,1
68,Germany,58,2,4,2,4,2,3,"1. homosexuality: 9
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 9
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,9,10,7,9,8,1
69,Germany,46,2,6,3,4,2,3,"1. homosexuality: 1
2. abortion: 6
3. divorce: 7
4. suicide: 3
5. euthanasia: 8
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,6,7,3,8,9,1
70,Germany,35,2,2,3,4,4,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 7
5. euthanasia: 9
6. prostitution: 10
7. death_penalty: 1",0.3,42,gemini-2.5-flash,10,9,9,7,9,10,1
71,Germany,71,1,7,1,2,4,1,"1. homosexuality: 4
2. abortion: 7
3. divorce: 9
4. suicide: 6
5. euthanasia: 8
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,4,7,9,6,8,7,1
72,Germany,50,2,7,4,5,2,1,"1. homosexuality: 1
2. abortion: 6
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 2",0.3,42,gemini-2.5-flash,1,6,8,3,7,8,2
73,Germany,51,1,2,3,8,2,3,"1. homosexuality: 8
2. abortion: 7
3. divorce: 9
4. suicide: 3
5. euthanasia: 7
6. prostitution: 9
7. death_penalty: 2",0.3,42,gemini-2.5-flash,8,7,9,3,7,9,2
74,Germany,28,1,1,5,9,2,3,"1. homosexuality: 9
2. abortion: 3
3. divorce: 5
4. suicide: 1
5. euthanasia: 1
6. prostitution: 2
7. death_penalty: 8",0.3,42,gemini-2.5-flash,9,3,5,1,1,2,8
75,Germany,77,1,6,4,8,1,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. prostitution: 6
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,2,6,1,2,6,8
76,Germany,35,1,2,1,10,2,2,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. prostitution: 6
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,1,2,1,1,6,9
77,Germany,26,1,2,5,7,3,1,"1. homosexuality: 8
2. abortion: 3
3. divorce: 8
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 7",0.3,42,gemini-2.5-flash,8,3,8,1,2,2,7
78,Germany,40,1,6,4,9,4,2,"1. homosexuality: 7
2. abortion: 4
3. divorce: 8
4. suicide: 2
5. euthanasia: 6
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,7,4,8,2,6,1,7
79,Germany,67,1,1,3,2,4,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 9
6. prostitution: 3
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,8,9,6,9,3,1
80,Germany,68,1,6,4,9,3,3,"1. homosexuality: 7
2. abortion: 2
3. divorce: 2
4. suicide: 4
5. euthanasia: 7
6. prostitution: 3
7. death_penalty: 7",0.3,42,gemini-2.5-flash,7,2,2,4,7,3,7
81,Germany,37,2,6,4,2,2,3,"1. homosexuality: 10
2. abortion: 8
3. divorce: 9
4. suicide: 3
5. euthanasia: 8
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,10,8,9,3,8,1,1
82,Germany,35,2,4,5,3,1,3,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 8
5. euthanasia: 9
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,10,9,10,8,9,8,1
83,Germany,48,1,1,2,7,4,1,"1. homosexuality: 9
2. abortion: 4
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,4,8,3,7,8,1
84,Germany,47,1,1,1,7,4,3,"1. homosexuality: 1
2. abortion: 3
3. divorce: 6
4. suicide: 2
5. euthanasia: 5
6. prostitution: 7
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,3,6,2,5,7,8
85,Germany,24,2,5,3,2,4,1,"1. homosexuality: 8
2. abortion: 5
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. prostitution: 2
7. death_penalty: 1",0.3,42,gemini-2.5-flash,8,5,8,3,7,2,1
