persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,model,rating_abortion,rating_death_penalty,rating_divorce,rating_euthanasia,rating_homosexuality,rating_prostitution,rating_suicide
0,Great Britain,34,1,2,3,5,2,1,"1. homosexuality: 10
2. abortion: 8
3. divorce: 9
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 10
7. capital_punishment: 2",0.3,gemini-2.5-flash,8,2,9,7,10,10,2
1,Great Britain,85,1,3,4,5,4,2,"1. homosexuality: 2
2. abortion: 3
3. divorce: 4
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 6",0.3,gemini-2.5-flash,3,6,4,7,2,1,2
2,Great Britain,38,2,2,2,3,2,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 9
6. paid_sexual_services: 8
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,10,9,10,8,7
3,Great Britain,86,2,2,4,6,3,2,"1. homosexuality: 6
2. abortion: 9
3. divorce: 9
4. suicide: 3
5. euthanasia: 8
6. paid_sexual_services: 4
7. capital_punishment: 6",0.3,gemini-2.5-flash,9,6,9,8,6,4,3
4,Great Britain,90,2,2,3,3,2,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 4
5. euthanasia: 8
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,8,10,10,4
5,Great Britain,72,1,2,4,5,4,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 6
5. euthanasia: 9
6. paid_sexual_services: 10
7. capital_punishment: 3",0.3,gemini-2.5-flash,9,3,9,9,10,10,6
6,Great Britain,47,2,3,3,3,3,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 4
5. euthanasia: 9
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,9,10,1,4
7,Great Britain,29,2,3,4,4,1,2,"1. homosexuality: 10
2. abortion: 8
3. divorce: 7
4. suicide: 1
5. euthanasia: 7
6. paid_sexual_services: 2
7. capital_punishment: 1",0.3,gemini-2.5-flash,8,1,7,7,10,2,1
8,Great Britain,82,1,3,4,5,2,2,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 3
5. euthanasia: 9
6. paid_sexual_services: 10
7. capital_punishment: 3",0.3,gemini-2.5-flash,10,3,10,9,10,10,3
9,Great Britain,32,2,2,4,3,3,2,"1. homosexuality: 1
2. abortion: 8
3. divorce: 9
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,8,1,9,6,1,10,2
10,Great Britain,77,1,3,3,5,4,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 3
5. euthanasia: 9
6. paid_sexual_services: 8
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,9,9,10,8,3
11,Great Britain,81,1,2,3,5,3,1,"1. homosexuality: 9
2. abortion: 7
3. divorce: 7
4. suicide: 4
5. euthanasia: 8
6. paid_sexual_services: 8
7. capital_punishment: 4",0.3,gemini-2.5-flash,7,4,7,8,9,8,4
12,Great Britain,73,2,3,3,5,4,1,"1. homosexuality: 9
2. abortion: 8
3. divorce: 10
4. suicide: 6
5. euthanasia: 9
6. paid_sexual_services: 6
7. capital_punishment: 3",0.3,gemini-2.5-flash,8,3,10,9,9,6,6
