persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,random_seed,model,rating_homosexuality,rating_abortion,rating_divorce,rating_suicide,rating_euthanasia,rating_prostitution,rating_death_penalty
0,Great Britain,53,1,1,2,4,4,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 5",0.3,42,gemini-2.5-flash,4,2,6,1,2,1,5
1,Great Britain,66,1,4,3,6,3,1,"1. homosexuality: 4
2. abortion: 3
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 7",0.3,42,gemini-2.5-flash,4,3,6,1,2,2,7
2,Great Britain,27,2,3,2,7,4,3,"1. homosexuality: 7
2. abortion: 7
3. divorce: 9
4. suicide: 6
5. euthanasia: 8
6. prostitution: 8
7. death_penalty: 8",0.3,42,gemini-2.5-flash,7,7,9,6,8,8,8
3,Great Britain,35,2,4,1,9,1,3,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,2,3,1,2,1,8
4,Great Britain,55,1,5,3,4,3,2,"1. homosexuality: 2
2. abortion: 1
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 3",0.3,42,gemini-2.5-flash,2,1,4,1,1,1,3
5,Great Britain,80,1,4,5,10,3,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,2,4,1,1,1,9
6,Great Britain,18,1,1,2,1,2,2,"1. homosexuality: 3
2. abortion: 1
3. divorce: 4
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,3,1,4,2,3,1,1
7,Great Britain,49,1,2,5,1,2,1,"1. homosexuality: 9
2. abortion: 5
3. divorce: 8
4. suicide: 2
5. euthanasia: 4
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,5,8,2,4,7,1
8,Great Britain,54,2,4,1,2,2,1,"1. homosexuality: 1
2. abortion: 4
3. divorce: 5
4. suicide: 2
5. euthanasia: 6
6. prostitution: 6
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,4,5,2,6,6,1
9,Great Britain,28,1,6,2,6,4,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,3,2,4,1,2,1,7
