persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,model,rating_abortion,rating_death_penalty,rating_divorce,rating_euthanasia,rating_homosexuality,rating_prostitution,rating_suicide
0,India,80,1,3,2,8,1,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 10
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,4,2,1,10,1
1,India,23,2,2,3,7,3,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,1,8,2,1,1,1,1
2,India,23,1,3,3,6,1,3,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,2,8,3,1,1,1,1
3,India,26,1,2,3,5,1,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,2,7,4,2,1,1,1
4,India,24,1,2,3,5,3,2,"1. homosexuality: 1
2. abortion: 3
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 3
7. capital_punishment: 7",0.3,gemini-2.5-flash,3,7,4,2,1,3,1
5,India,68,2,2,4,5,3,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,1,8,2,1,1,1,1
6,India,20,2,3,2,10,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,2,1,1,1,1
7,India,19,1,1,3,5,1,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,2,8,3,1,1,1,1
8,India,39,1,3,3,5,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,1,8,2,1,1,1,1
9,India,21,2,2,2,1,1,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 2",0.3,gemini-2.5-flash,2,2,3,1,1,1,1
10,India,39,2,1,3,7,1,2,"1. homosexuality: 1
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,3,1,1,1,1
11,India,35,1,2,2,8,1,1,"1. homosexuality: 9
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,2,8,3,2,9,1,1
12,India,42,2,3,3,5,3,2,"1. homosexuality: 1
2. abortion: 2
3. divorce: 7
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,2,7,7,3,1,1,1
13,India,26,1,2,3,7,1,1,"1. homosexuality: 8
2. abortion: 3
3. divorce: 2
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,3,9,2,2,8,1,1
14,India,74,2,1,3,10,2,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 1
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 10",0.3,gemini-2.5-flash,1,10,1,1,1,1,1
15,India,22,1,1,4,3,1,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,2,7,3,1,1,1,1
16,India,77,1,1,3,8,2,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,3,1,1,1,1
17,India,39,2,3,4,8,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,2,1,1,1,1
18,India,20,2,1,2,5,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,1,7,2,1,1,1,1
19,India,43,1,2,2,9,1,2,"1. homosexuality: 2
2. abortion: 4
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,4,9,3,2,2,1,1
20,India,20,2,2,5,10,2,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 10",0.3,gemini-2.5-flash,1,10,2,1,1,1,1
21,India,76,1,3,3,3,1,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,2,7,3,1,1,1,1
22,India,33,1,2,5,9,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,3,1,1,1,1
23,India,35,2,3,1,10,2,3,"1. homosexuality: 2
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,3,2,2,1,1
24,India,21,1,1,4,10,2,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 10",0.3,gemini-2.5-flash,1,10,3,1,1,1,1
25,India,76,2,2,3,9,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,2,1,1,1,1
26,India,21,1,3,4,4,1,2,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,2,7,3,2,1,1,1
27,India,37,1,1,3,8,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,3,1,1,1,1
28,India,73,1,1,3,5,3,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,2,7,3,2,1,1,1
29,India,45,2,2,3,5,2,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,2,1,1,1,1
30,India,19,1,3,3,2,1,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 2
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,2,7,2,2,1,1,1
31,India,19,1,1,2,7,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 2
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,3,1,1,2,1
32,India,30,1,1,3,6,2,2,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,1,8,2,1,1,1,1
33,India,39,1,1,4,7,1,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,2,1,1,1,1
