persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,random_seed,model,rating_homosexuality,rating_abortion,rating_divorce,rating_suicide,rating_euthanasia,rating_prostitution,rating_death_penalty
0,India,53,1,1,2,4,4,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 3",0.3,42,gemini-2.5-flash,4,2,3,1,2,1,3
1,India,66,1,4,3,6,3,1,"1. homosexuality: 5
2. abortion: 3
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,5,3,6,1,2,1,8
2,India,27,2,3,2,7,4,3,"1. homosexuality: 7
2. abortion: 8
3. divorce: 10
4. suicide: 5
5. euthanasia: 8
6. prostitution: 8
7. death_penalty: 9",0.3,42,gemini-2.5-flash,7,8,10,5,8,8,9
3,India,35,2,4,1,9,1,3,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,2,3,1,1,1,8
4,India,55,1,5,3,4,3,2,"1. homosexuality: 3
2. abortion: 3
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,3,7,1,2,1,8
5,India,80,1,4,5,10,3,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,2,4,1,1,1,9
6,India,18,1,1,2,1,2,2,"1. homosexuality: 2
2. abortion: 1
3. divorce: 8
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,2,1,8,1,1,1,1
7,India,49,1,2,5,1,2,1,"1. homosexuality: 2
2. abortion: 2
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. prostitution: 6
7. death_penalty: 2",0.3,42,gemini-2.5-flash,2,2,7,1,2,6,2
8,India,54,2,4,1,2,2,1,"1. homosexuality: 1
2. abortion: 3
3. divorce: 6
4. suicide: 2
5. euthanasia: 3
6. prostitution: 6
7. death_penalty: 3",0.3,42,gemini-2.5-flash,1,3,6,2,3,6,3
9,India,28,1,6,2,6,4,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,3,2,4,1,1,1,7
