persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,model,rating_abortion,rating_death_penalty,rating_divorce,rating_euthanasia,rating_homosexuality,rating_prostitution,rating_suicide
0,Japan,64,1,3,5,5,4,1,"1. homosexuality: 3
2. abortion: 7
3. divorce: 10
4. suicide: 4
5. euthanasia: 7
6. paid_sexual_services: 5
7. capital_punishment: 9",0.3,gemini-2.5-flash,7,9,10,7,3,5,4
1,Japan,72,2,2,4,7,3,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 2
7. capital_punishment: 9",0.3,gemini-2.5-flash,7,9,8,6,9,2,2
2,Japan,68,2,3,3,5,3,2,"1. homosexuality: 3
2. abortion: 8
3. divorce: 9
4. suicide: 2
5. euthanasia: 9
6. paid_sexual_services: 6
7. capital_punishment: 8",0.3,gemini-2.5-flash,8,8,9,9,3,6,2
3,Japan,41,2,3,4,4,3,2,"1. homosexuality: 9
2. abortion: 9
3. divorce: 10
4. suicide: 6
5. euthanasia: 8
6. paid_sexual_services: 3
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,10,8,9,3,6
4,Japan,51,2,2,4,4,4,2,"1. homosexuality: 3
2. abortion: 7
3. divorce: 9
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 4
7. capital_punishment: 2",0.3,gemini-2.5-flash,7,2,9,7,3,4,2
5,Japan,60,2,3,5,7,3,3,"1. homosexuality: 1
2. abortion: 4
3. divorce: 6
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,4,9,6,4,1,1,1
6,Japan,57,2,2,3,8,3,3,"1. homosexuality: 2
2. abortion: 4
3. divorce: 5
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,4,8,5,3,2,1,1
7,Japan,56,2,1,4,5,4,2,"1. homosexuality: 2
2. abortion: 7
3. divorce: 7
4. suicide: 3
5. euthanasia: 7
6. paid_sexual_services: 3
7. capital_punishment: 8",0.3,gemini-2.5-flash,7,8,7,7,2,3,3
8,Japan,85,1,3,2,8,3,2,"1. homosexuality: 2
2. abortion: 4
3. divorce: 5
4. suicide: 2
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,4,9,5,3,2,1,2
9,Japan,61,2,2,5,8,4,2,"1. homosexuality: 2
2. abortion: 3
3. divorce: 3
4. suicide: 2
5. euthanasia: 4
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,3,8,3,4,2,1,2
10,Japan,84,2,3,5,6,4,3,"1. homosexuality: 8
2. abortion: 8
3. divorce: 9
4. suicide: 3
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,8,8,9,7,8,1,3
11,Japan,61,1,2,2,6,3,2,"1. homosexuality: 6
2. abortion: 8
3. divorce: 8
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 3
7. capital_punishment: 8",0.3,gemini-2.5-flash,8,8,8,7,6,3,2
12,Japan,63,1,3,4,9,4,2,"1. homosexuality: 6
2. abortion: 5
3. divorce: 5
4. suicide: 2
5. euthanasia: 5
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,5,9,5,5,6,1,2
13,Japan,77,2,2,5,5,3,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,7,8,8,6,9,1,2
14,Japan,29,2,3,3,7,4,2,"1. homosexuality: 7
2. abortion: 6
3. divorce: 7
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,6,8,7,6,7,1,2
15,Japan,58,1,3,4,7,3,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 3
5. euthanasia: 8
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,8,9,9,8,9,1,3
16,Japan,72,1,2,3,2,3,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 9
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,7,1,8,9,9,1,3
17,Japan,35,2,1,4,10,2,2,"1. homosexuality: 8
2. abortion: 3
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,3,9,4,2,8,1,1
18,Japan,71,2,2,5,5,3,1,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 3
7. capital_punishment: 8",0.3,gemini-2.5-flash,7,8,8,7,9,3,2
19,Japan,35,1,3,2,7,2,3,"1. homosexuality: 9
2. abortion: 3
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,3,8,4,2,9,1,1
20,Japan,40,1,2,3,8,3,1,"1. homosexuality: 3
2. abortion: 3
3. divorce: 6
4. suicide: 2
5. euthanasia: 4
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,3,9,6,4,3,1,2
21,Japan,71,2,3,4,8,4,2,"1. homosexuality: 10
2. abortion: 8
3. divorce: 10
4. suicide: 3
5. euthanasia: 8
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,8,9,10,8,10,1,3
22,Japan,33,2,3,3,6,4,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 4
5. euthanasia: 8
6. paid_sexual_services: 2
7. capital_punishment: 5",0.3,gemini-2.5-flash,9,5,9,8,10,2,4
23,Japan,47,2,3,4,10,4,3,"1. homosexuality: 7
2. abortion: 6
3. divorce: 5
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,6,9,5,7,7,1,2
24,Japan,54,2,2,3,5,4,2,"1. homosexuality: 2
2. abortion: 8
3. divorce: 7
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 4
7. capital_punishment: 8",0.3,gemini-2.5-flash,8,8,7,6,2,4,2
25,Japan,66,1,3,3,6,3,3,"1. homosexuality: 4
2. abortion: 8
3. divorce: 7
4. suicide: 3
5. euthanasia: 7
6. paid_sexual_services: 8
7. capital_punishment: 8",0.3,gemini-2.5-flash,8,8,7,7,4,8,3
26,Japan,69,2,1,5,5,4,1,"1. homosexuality: 2
2. abortion: 6
3. divorce: 8
4. suicide: 4
5. euthanasia: 7
6. paid_sexual_services: 6
7. capital_punishment: 9",0.3,gemini-2.5-flash,6,9,8,7,2,6,4
27,Japan,62,1,3,3,4,4,1,"1. homosexuality: 10
2. abortion: 8
3. divorce: 8
4. suicide: 3
5. euthanasia: 9
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,8,1,8,9,10,1,3
28,Japan,67,1,3,3,8,4,2,"1. homosexuality: 2
2. abortion: 4
3. divorce: 6
4. suicide: 3
5. euthanasia: 5
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,4,9,6,5,2,1,3
29,Japan,46,1,1,3,7,4,3,"1. homosexuality: 1
2. abortion: 4
3. divorce: 6
4. suicide: 3
5. euthanasia: 6
6. paid_sexual_services: 4
7. capital_punishment: 9",0.3,gemini-2.5-flash,4,9,6,6,1,4,3
30,Japan,90,1,3,3,6,3,3,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 9
6. paid_sexual_services: 5
7. capital_punishment: 8",0.3,gemini-2.5-flash,7,8,8,9,9,5,3
31,Japan,38,1,2,3,5,4,2,"1. homosexuality: 7
2. abortion: 8
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,8,8,8,7,7,1,3
32,Japan,82,1,3,3,4,3,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 8
4. suicide: 6
5. euthanasia: 9
6. paid_sexual_services: 10
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,8,9,10,10,6
33,Japan,65,2,2,3,4,3,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 6
5. euthanasia: 9
6. paid_sexual_services: 6
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,9,9,10,6,6
34,Japan,72,1,2,4,6,4,2,"1. homosexuality: 2
2. abortion: 6
3. divorce: 7
4. suicide: 3
5. euthanasia: 6
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,6,8,7,6,2,1,3
35,Japan,67,2,3,4,9,3,2,"1. homosexuality: 4
2. abortion: 7
3. divorce: 10
4. suicide: 2
5. euthanasia: 6
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,7,9,10,6,4,1,2
36,Japan,54,1,2,4,5,4,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 8
4. suicide: 3
5. euthanasia: 6
6. paid_sexual_services: 2
7. capital_punishment: 8",0.3,gemini-2.5-flash,8,8,8,6,9,2,3
37,Japan,43,1,3,3,6,4,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 7
4. suicide: 3
5. euthanasia: 6
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,7,8,7,6,9,1,3
38,Japan,31,1,2,2,5,4,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. paid_sexual_services: 7
7. capital_punishment: 7",0.3,gemini-2.5-flash,8,7,8,7,9,7,3
39,Japan,20,1,1,3,3,4,2,"1. homosexuality: 2
2. abortion: 4
3. divorce: 7
4. suicide: 2
5. euthanasia: 3
6. paid_sexual_services: 8
7. capital_punishment: 2",0.3,gemini-2.5-flash,4,2,7,3,2,8,2
40,Japan,33,1,3,3,7,4,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 2
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,7,9,8,3,9,1,2
41,Japan,63,2,3,4,8,4,3,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 6
6. paid_sexual_services: 2
7. capital_punishment: 9",0.3,gemini-2.5-flash,7,9,8,6,9,2,3
