persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,random_seed,model,rating_homosexuality,rating_abortion,rating_divorce,rating_suicide,rating_euthanasia,rating_prostitution,rating_death_penalty
0,Japan,53,1,1,2,4,4,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 5
4. suicide: 1
5. euthanasia: 1
6. prostitution: 2
7. death_penalty: 4",0.3,42,gemini-2.5-flash,4,2,5,1,1,2,4
1,Japan,66,1,4,3,6,3,1,"1. homosexuality: 3
2. abortion: 4
3. divorce: 7
4. suicide: 2
5. euthanasia: 4
6. prostitution: 2
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,4,7,2,4,2,8
2,Japan,27,2,3,2,7,4,3,"1. homosexuality: 7
2. abortion: 8
3. divorce: 9
4. suicide: 5
5. euthanasia: 7
6. prostitution: 7
7. death_penalty: 7",0.3,42,gemini-2.5-flash,7,8,9,5,7,7,7
3,Japan,35,2,4,1,9,1,3,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 2
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,2,4,2,2,1,9
4,Japan,55,1,5,3,4,3,2,"1. homosexuality: 6
2. abortion: 4
3. divorce: 8
4. suicide: 1
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 4",0.3,42,gemini-2.5-flash,6,4,8,1,3,1,4
5,Japan,80,1,4,5,10,3,1,"1. homosexuality: 1
2. abortion: 3
3. divorce: 4
4. suicide: 2
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,3,4,2,2,1,9
6,Japan,18,1,1,2,1,2,2,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 2
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 2",0.3,42,gemini-2.5-flash,3,2,4,2,2,1,2
7,Japan,49,1,2,5,1,2,1,"1. homosexuality: 9
2. abortion: 6
3. divorce: 8
4. suicide: 4
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 2",0.3,42,gemini-2.5-flash,9,6,8,4,7,8,2
8,Japan,54,2,4,1,2,2,1,"1. homosexuality: 1
2. abortion: 4
3. divorce: 4
4. suicide: 3
5. euthanasia: 2
6. prostitution: 6
7. death_penalty: 2",0.3,42,gemini-2.5-flash,1,4,4,3,2,6,2
9,Japan,28,1,6,2,6,4,1,"1. homosexuality: 2
2. abortion: 1
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 2
7. death_penalty: 8",0.3,42,gemini-2.5-flash,2,1,4,1,1,2,8
10,Japan,54,2,5,3,5,2,3,"1. homosexuality: 7
2. abortion: 8
3. divorce: 8
4. suicide: 3
5. euthanasia: 6
6. prostitution: 7
7. death_penalty: 9",0.3,42,gemini-2.5-flash,7,8,8,3,6,7,9
11,Japan,53,2,6,1,4,2,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 6
4. suicide: 2
5. euthanasia: 5
6. prostitution: 3
7. death_penalty: 4",0.3,42,gemini-2.5-flash,9,7,6,2,5,3,4
12,Japan,37,2,4,4,4,1,2,"1. homosexuality: 7
2. abortion: 3
3. divorce: 5
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 3",0.3,42,gemini-2.5-flash,7,3,5,2,3,1,3
13,Japan,26,2,3,5,7,3,2,"1. homosexuality: 7
2. abortion: 4
3. divorce: 6
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,7,4,6,2,3,1,7
14,Japan,73,2,6,4,5,4,3,"1. homosexuality: 7
2. abortion: 8
3. divorce: 8
4. suicide: 3
5. euthanasia: 5
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,7,8,8,3,5,1,7
15,Japan,59,2,2,5,7,2,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 2
5. euthanasia: 3
6. prostitution: 7
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,2,4,2,3,7,8
16,Japan,81,2,7,5,8,2,2,"1. homosexuality: 3
2. abortion: 4
3. divorce: 8
4. suicide: 6
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 9",0.3,42,gemini-2.5-flash,3,4,8,6,7,8,9
17,Japan,51,2,6,3,7,2,3,"1. homosexuality: 2
2. abortion: 4
3. divorce: 8
4. suicide: 3
5. euthanasia: 5
6. prostitution: 6
7. death_penalty: 8",0.3,42,gemini-2.5-flash,2,4,8,3,5,6,8
18,Japan,25,2,1,4,3,2,2,"1. homosexuality: 6
2. abortion: 3
3. divorce: 5
4. suicide: 2
5. euthanasia: 4
6. prostitution: 6
7. death_penalty: 3",0.3,42,gemini-2.5-flash,6,3,5,2,4,6,3
19,Japan,68,1,2,2,4,4,2,"1. homosexuality: 1
2. abortion: 3
3. divorce: 6
4. suicide: 3
5. euthanasia: 5
6. prostitution: 5
7. death_penalty: 7",0.3,42,gemini-2.5-flash,1,3,6,3,5,5,7
20,Japan,49,1,1,3,2,1,3,"1. homosexuality: 7
2. abortion: 3
3. divorce: 6
4. suicide: 1
5. euthanasia: 5
6. prostitution: 2
7. death_penalty: 1",0.3,42,gemini-2.5-flash,7,3,6,1,5,2,1
21,Japan,56,1,3,5,10,4,3,"1. homosexuality: 1
2. abortion: 3
3. divorce: 7
4. suicide: 2
5. euthanasia: 3
6. prostitution: 4
7. death_penalty: 10",0.3,42,gemini-2.5-flash,1,3,7,2,3,4,10
22,Japan,73,2,3,5,1,2,2,"1. homosexuality: 7
2. abortion: 6
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,7,6,8,3,7,9,1
23,Japan,48,1,6,3,8,4,2,"1. homosexuality: 3
2. abortion: 4
3. divorce: 5
4. suicide: 3
5. euthanasia: 4
6. prostitution: 4
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,4,5,3,4,4,8
24,Japan,47,2,2,3,9,3,3,"1. homosexuality: 3
2. abortion: 2
3. divorce: 3
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,2,3,2,3,1,8
25,Japan,31,2,1,1,10,2,1,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 6
6. prostitution: 7
7. death_penalty: 9",0.3,42,gemini-2.5-flash,9,7,8,3,6,7,9
26,Japan,75,2,5,2,1,2,1,"1. homosexuality: 4
2. abortion: 3
3. divorce: 5
4. suicide: 1
5. euthanasia: 2
6. prostitution: 3
7. death_penalty: 2",0.3,42,gemini-2.5-flash,4,3,5,1,2,3,2
27,Japan,76,2,6,5,2,1,3,"1. homosexuality: 3
2. abortion: 7
3. divorce: 8
4. suicide: 4
5. euthanasia: 8
6. prostitution: 8
7. death_penalty: 2",0.3,42,gemini-2.5-flash,3,7,8,4,8,8,2
28,Japan,52,2,6,2,7,4,3,"1. homosexuality: 9
2. abortion: 7
3. divorce: 10
4. suicide: 6
5. euthanasia: 8
6. prostitution: 7
7. death_penalty: 8",0.3,42,gemini-2.5-flash,9,7,10,6,8,7,8
29,Japan,38,1,1,1,9,2,3,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 6
5. euthanasia: 7
6. prostitution: 4
7. death_penalty: 9",0.3,42,gemini-2.5-flash,9,7,8,6,7,4,9
30,Japan,80,2,3,2,9,3,2,"1. homosexuality: 7
2. abortion: 3
3. divorce: 4
4. suicide: 2
5. euthanasia: 3
6. prostitution: 7
7. death_penalty: 9",0.3,42,gemini-2.5-flash,7,3,4,2,3,7,9
31,Japan,83,1,3,1,7,4,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 10
4. suicide: 7
5. euthanasia: 9
6. prostitution: 10
7. death_penalty: 9",0.3,42,gemini-2.5-flash,9,7,10,7,9,10,9
32,Japan,58,1,7,2,7,1,1,"1. homosexuality: 8
2. abortion: 7
3. divorce: 9
4. suicide: 6
5. euthanasia: 8
6. prostitution: 10
7. death_penalty: 9",0.3,42,gemini-2.5-flash,8,7,9,6,8,10,9
33,Japan,58,2,1,2,7,2,2,"1. homosexuality: 7
2. abortion: 6
3. divorce: 6
4. suicide: 4
5. euthanasia: 7
6. prostitution: 5
7. death_penalty: 9",0.3,42,gemini-2.5-flash,7,6,6,4,7,5,9
34,Japan,41,2,4,3,5,2,3,"1. homosexuality: 1
2. abortion: 6
3. divorce: 8
4. suicide: 4
5. euthanasia: 7
6. prostitution: 7
7. death_penalty: 7",0.3,42,gemini-2.5-flash,1,6,8,4,7,7,7
35,Japan,31,2,1,1,5,2,3,"1. homosexuality: 5
2. abortion: 4
3. divorce: 8
4. suicide: 2
5. euthanasia: 4
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,5,4,8,2,4,1,7
36,Japan,34,2,7,3,2,1,1,"1. homosexuality: 8
2. abortion: 5
3. divorce: 8
4. suicide: 2
5. euthanasia: 3
6. prostitution: 6
7. death_penalty: 2",0.3,42,gemini-2.5-flash,8,5,8,2,3,6,2
37,Japan,33,2,3,1,4,4,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,4,2,3,1,1,1,7
38,Japan,76,2,6,4,1,4,1,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 4
5. euthanasia: 8
6. prostitution: 6
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,8,9,4,8,6,1
39,Japan,33,1,5,2,5,2,3,"1. homosexuality: 1
2. abortion: 4
3. divorce: 6
4. suicide: 2
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,4,6,2,7,8,8
40,Japan,34,1,3,5,1,1,3,"1. homosexuality: 1
2. abortion: 3
3. divorce: 4
4. suicide: 2
5. euthanasia: 5
6. prostitution: 7
7. death_penalty: 2",0.3,42,gemini-2.5-flash,1,3,4,2,5,7,2
41,Japan,72,2,3,5,8,1,2,"1. homosexuality: 8
2. abortion: 7
3. divorce: 8
4. suicide: 5
5. euthanasia: 7
6. prostitution: 6
7. death_penalty: 9",0.3,42,gemini-2.5-flash,8,7,8,5,7,6,9
42,Japan,58,1,1,4,6,1,3,"1. homosexuality: 1
2. abortion: 4
3. divorce: 7
4. suicide: 5
5. euthanasia: 6
6. prostitution: 4
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,4,7,5,6,4,9
43,Japan,79,1,5,5,3,3,1,"1. homosexuality: 3
2. abortion: 3
3. divorce: 8
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 4",0.3,42,gemini-2.5-flash,3,3,8,1,2,2,4
44,Japan,66,1,5,2,7,4,2,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 3
5. euthanasia: 4
6. prostitution: 3
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,2,4,3,4,3,9
45,Japan,85,2,2,3,2,4,3,"1. homosexuality: 8
2. abortion: 9
3. divorce: 9
4. suicide: 7
5. euthanasia: 9
6. prostitution: 6
7. death_penalty: 1",0.3,42,gemini-2.5-flash,8,9,9,7,9,6,1
46,Japan,20,2,6,1,6,4,3,"1. homosexuality: 10
2. abortion: 8
3. divorce: 9
4. suicide: 4
5. euthanasia: 7
6. prostitution: 6
7. death_penalty: 8",0.3,42,gemini-2.5-flash,10,8,9,4,7,6,8
47,Japan,27,1,3,2,10,2,1,"1. homosexuality: 3
2. abortion: 1
3. divorce: 8
4. suicide: 1
5. euthanasia: 1
6. prostitution: 9
7. death_penalty: 9",0.3,42,gemini-2.5-flash,3,1,8,1,1,9,9
48,Japan,37,2,1,4,4,1,2,"1. homosexuality: 10
2. abortion: 8
3. divorce: 8
4. suicide: 3
5. euthanasia: 4
6. prostitution: 9
7. death_penalty: 2",0.3,42,gemini-2.5-flash,10,8,8,3,4,9,2
49,Japan,25,1,5,4,2,4,3,"1. homosexuality: 6
2. abortion: 5
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. prostitution: 5
7. death_penalty: 2",0.3,42,gemini-2.5-flash,6,5,8,3,7,5,2
50,Japan,50,2,1,4,4,2,3,"1. homosexuality: 4
2. abortion: 3
3. divorce: 8
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 6",0.3,42,gemini-2.5-flash,4,3,8,1,2,1,6
51,Japan,46,1,7,3,5,2,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 9
6. prostitution: 10
7. death_penalty: 6",0.3,42,gemini-2.5-flash,9,8,9,6,9,10,6
52,Japan,57,1,5,4,2,1,3,"1. homosexuality: 4
2. abortion: 3
3. divorce: 7
4. suicide: 3
5. euthanasia: 5
6. prostitution: 2
7. death_penalty: 4",0.3,42,gemini-2.5-flash,4,3,7,3,5,2,4
53,Japan,83,2,3,5,5,2,3,"1. homosexuality: 7
2. abortion: 6
3. divorce: 9
4. suicide: 2
5. euthanasia: 4
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,7,6,9,2,4,1,7
54,Japan,75,2,5,1,1,2,1,"1. homosexuality: 1
2. abortion: 9
3. divorce: 9
4. suicide: 7
5. euthanasia: 9
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,9,9,7,9,9,1
55,Japan,55,1,6,5,10,3,2,"1. homosexuality: 4
2. abortion: 3
3. divorce: 5
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,4,3,5,2,3,1,9
56,Japan,63,1,6,1,1,2,3,"1. homosexuality: 7
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 9
6. prostitution: 7
7. death_penalty: 2",0.3,42,gemini-2.5-flash,7,9,10,7,9,7,2
57,Japan,24,2,6,4,5,1,3,"1. homosexuality: 1
2. abortion: 2
3. divorce: 7
4. suicide: 1
5. euthanasia: 3
6. prostitution: 4
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,2,7,1,3,4,8
58,Japan,39,2,5,1,7,2,1,"1. homosexuality: 1
2. abortion: 3
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. prostitution: 3
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,3,7,1,2,3,8
59,Japan,75,1,3,1,2,3,1,"1. homosexuality: 7
2. abortion: 7
3. divorce: 7
4. suicide: 2
5. euthanasia: 3
6. prostitution: 2
7. death_penalty: 3",0.3,42,gemini-2.5-flash,7,7,7,2,3,2,3
60,Japan,40,2,6,3,10,1,1,"1. homosexuality: 9
2. abortion: 7
3. divorce: 9
4. suicide: 5
5. euthanasia: 8
6. prostitution: 9
7. death_penalty: 8",0.3,42,gemini-2.5-flash,9,7,9,5,8,9,8
61,Japan,29,1,7,3,6,2,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 7",0.3,42,gemini-2.5-flash,3,2,4,1,2,2,7
62,Japan,28,2,5,5,1,1,3,"1. homosexuality: 1
2. abortion: 7
3. divorce: 10
4. suicide: 4
5. euthanasia: 8
6. prostitution: 9
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,7,10,4,8,9,1
63,Japan,79,2,1,4,2,3,3,"1. homosexuality: 7
2. abortion: 6
3. divorce: 7
4. suicide: 3
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 2",0.3,42,gemini-2.5-flash,7,6,7,3,7,8,2
64,Japan,36,1,7,3,6,3,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 7
4. suicide: 5
5. euthanasia: 8
6. prostitution: 9
7. death_penalty: 8",0.3,42,gemini-2.5-flash,9,7,7,5,8,9,8
65,Japan,81,2,7,3,10,2,1,"1. homosexuality: 6
2. abortion: 3
3. divorce: 7
4. suicide: 1
5. euthanasia: 2
6. prostitution: 3
7. death_penalty: 9",0.3,42,gemini-2.5-flash,6,3,7,1,2,3,9
66,Japan,30,1,2,1,10,2,2,"1. homosexuality: 4
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 6
7. death_penalty: 9",0.3,42,gemini-2.5-flash,4,2,4,1,2,6,9
67,Japan,56,2,5,1,2,2,1,"1. homosexuality: 9
2. abortion: 3
3. divorce: 10
4. suicide: 2
5. euthanasia: 4
6. prostitution: 10
7. death_penalty: 2",0.3,42,gemini-2.5-flash,9,3,10,2,4,10,2
68,Japan,58,2,4,2,4,2,3,"1. homosexuality: 9
2. abortion: 9
3. divorce: 10
4. suicide: 4
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 3",0.3,42,gemini-2.5-flash,9,9,10,4,7,8,3
69,Japan,46,2,6,3,4,2,3,"1. homosexuality: 1
2. abortion: 7
3. divorce: 8
4. suicide: 4
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 7",0.3,42,gemini-2.5-flash,1,7,8,4,7,8,7
70,Japan,35,2,2,3,4,4,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 8
4. suicide: 7
5. euthanasia: 9
6. prostitution: 10
7. death_penalty: 2",0.3,42,gemini-2.5-flash,9,8,8,7,9,10,2
71,Japan,71,1,7,1,2,4,1,"1. homosexuality: 6
2. abortion: 4
3. divorce: 8
4. suicide: 2
5. euthanasia: 5
6. prostitution: 3
7. death_penalty: 2",0.3,42,gemini-2.5-flash,6,4,8,2,5,3,2
72,Japan,50,2,7,4,5,2,1,"1. homosexuality: 1
2. abortion: 5
3. divorce: 7
4. suicide: 3
5. euthanasia: 2
6. prostitution: 7
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,5,7,3,2,7,8
73,Japan,51,1,2,3,8,2,3,"1. homosexuality: 6
2. abortion: 6
3. divorce: 9
4. suicide: 3
5. euthanasia: 7
6. prostitution: 8
7. death_penalty: 9",0.3,42,gemini-2.5-flash,6,6,9,3,7,8,9
74,Japan,28,1,1,5,9,2,3,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 4
6. prostitution: 2
7. death_penalty: 9",0.3,42,gemini-2.5-flash,9,7,8,3,4,2,9
75,Japan,77,1,6,4,8,1,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. prostitution: 6
7. death_penalty: 9",0.3,42,gemini-2.5-flash,4,2,6,1,2,6,9
76,Japan,35,1,2,1,10,2,2,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. prostitution: 7
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,2,3,1,2,7,9
77,Japan,26,1,2,5,7,3,1,"1. homosexuality: 8
2. abortion: 6
3. divorce: 8
4. suicide: 2
5. euthanasia: 4
6. prostitution: 3
7. death_penalty: 7",0.3,42,gemini-2.5-flash,8,6,8,2,4,3,7
78,Japan,40,1,6,4,9,4,2,"1. homosexuality: 7
2. abortion: 4
3. divorce: 7
4. suicide: 2
5. euthanasia: 5
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,7,4,7,2,5,1,9
79,Japan,67,1,1,3,2,4,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. prostitution: 3
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,7,8,3,7,3,1
80,Japan,68,1,6,4,9,3,3,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 3
6. prostitution: 3
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,2,4,1,3,3,8
81,Japan,37,2,6,4,2,2,3,"1. homosexuality: 3
2. abortion: 7
3. divorce: 9
4. suicide: 3
5. euthanasia: 6
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,3,7,9,3,6,1,7
82,Japan,35,2,4,5,3,1,3,"1. homosexuality: 10
2. abortion: 9
3. divorce: 8
4. suicide: 6
5. euthanasia: 9
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,10,9,8,6,9,7,1
83,Japan,48,1,1,2,7,4,1,"1. homosexuality: 8
2. abortion: 4
3. divorce: 9
4. suicide: 3
5. euthanasia: 5
6. prostitution: 8
7. death_penalty: 7",0.3,42,gemini-2.5-flash,8,4,9,3,5,8,7
84,Japan,47,1,1,1,7,4,3,"1. homosexuality: 1
2. abortion: 4
3. divorce: 7
4. suicide: 6
5. euthanasia: 7
6. prostitution: 5
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,4,7,6,7,5,9
85,Japan,24,2,5,3,2,4,1,"1. homosexuality: 8
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 9
6. prostitution: 2
7. death_penalty: 1",0.3,42,gemini-2.5-flash,8,9,10,7,9,2,1
86,Japan,37,2,4,1,5,1,3,"1. homosexuality: 7
2. abortion: 6
3. divorce: 9
4. suicide: 2
5. euthanasia: 5
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,7,6,9,2,5,1,7
87,Japan,49,1,3,3,5,3,3,"1. homosexuality: 3
2. abortion: 3
3. divorce: 8
4. suicide: 4
5. euthanasia: 5
6. prostitution: 2
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,3,8,4,5,2,8
88,Japan,66,2,5,2,10,3,2,"1. homosexuality: 3
2. abortion: 3
3. divorce: 7
4. suicide: 2
5. euthanasia: 6
6. prostitution: 2
7. death_penalty: 9",0.3,42,gemini-2.5-flash,3,3,7,2,6,2,9
89,Japan,77,1,7,4,7,4,3,"1. homosexuality: 8
2. abortion: 9
3. divorce: 9
4. suicide: 7
5. euthanasia: 9
6. prostitution: 9
7. death_penalty: 8",0.3,42,gemini-2.5-flash,8,9,9,7,9,9,8
90,Japan,28,2,1,4,3,3,2,"1. homosexuality: 7
2. abortion: 9
3. divorce: 9
4. suicide: 6
5. euthanasia: 8
6. prostitution: 9
7. death_penalty: 2",0.3,42,gemini-2.5-flash,7,9,9,6,8,9,2
91,Japan,31,2,2,2,2,4,1,"1. homosexuality: 9
2. abortion: 3
3. divorce: 4
4. suicide: 2
5. euthanasia: 2
6. prostitution: 5
7. death_penalty: 3",0.3,42,gemini-2.5-flash,9,3,4,2,2,5,3
92,Japan,38,1,2,4,9,1,3,"1. homosexuality: 9
2. abortion: 6
3. divorce: 4
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,9,6,4,2,3,1,8
