persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,model,rating_abortion,rating_death_penalty,rating_divorce,rating_euthanasia,rating_homosexuality,rating_prostitution,rating_suicide
0,Netherlands,31,2,3,3,5,3,2,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,10,7
1,Netherlands,36,2,3,3,6,1,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,10,10,10,10,7
2,Netherlands,44,1,3,2,5,4,3,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 8
5. euthanasia: 10
6. paid_sexual_services: 9
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,9,8
3,Netherlands,73,2,1,2,5,1,2,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 6
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,6,7
4,Netherlands,23,2,3,2,1,2,2,"1. homosexuality: 10
2. abortion: 10
3. divorce: 9
4. suicide: 8
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,9,10,10,10,8
5,Netherlands,44,1,1,3,7,4,1,"1. homosexuality: 9
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 9
6. paid_sexual_services: 6
7. capital_punishment: 1",0.3,gemini-2.5-flash,8,1,9,9,9,6,6
6,Netherlands,75,2,3,4,5,3,2,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 9
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,10,9
7,Netherlands,45,1,2,4,2,4,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 9
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,10,10,10,9,7
8,Netherlands,30,2,2,2,5,4,3,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 8
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,10,8
9,Netherlands,72,1,3,3,4,2,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,10,10,10,10,7
10,Netherlands,39,2,2,2,6,4,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 6
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,10,6
11,Netherlands,50,2,2,2,7,2,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 6
7. capital_punishment: 8",0.3,gemini-2.5-flash,2,8,4,4,3,6,1
12,Netherlands,63,2,2,2,8,4,1,"1. homosexuality: 9
2. abortion: 3
3. divorce: 6
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 2
7. capital_punishment: 7",0.3,gemini-2.5-flash,3,7,6,4,9,2,1
13,Netherlands,68,2,3,2,6,4,1,"1. homosexuality: 10
2. abortion: 10
3. divorce: 9
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,9,10,10,10,7
14,Netherlands,41,2,3,2,7,1,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 2
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,9,10,10,10,2
15,Netherlands,39,2,3,3,4,3,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 4
5. euthanasia: 10
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,1,4
16,Netherlands,23,2,1,4,5,3,3,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 8
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,10,8
17,Netherlands,60,2,1,2,6,4,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 9
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,9,7
18,Netherlands,90,2,1,1,7,3,1,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 1
7. capital_punishment: 2",0.3,gemini-2.5-flash,9,2,10,10,10,1,7
19,Netherlands,78,2,3,2,4,4,2,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 8
5. euthanasia: 10
6. paid_sexual_services: 9
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,9,8
20,Netherlands,60,2,2,2,7,4,1,"1. homosexuality: 4
2. abortion: 5
3. divorce: 9
4. suicide: 2
5. euthanasia: 9
6. paid_sexual_services: 8
7. capital_punishment: 1",0.3,gemini-2.5-flash,5,1,9,9,4,8,2
21,Netherlands,21,1,1,3,6,4,3,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 6
5. euthanasia: 10
6. paid_sexual_services: 7
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,10,10,10,7,6
22,Netherlands,52,2,2,3,6,3,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 4
5. euthanasia: 10
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,1,4
23,Netherlands,74,1,1,3,4,4,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 8
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,10,8
24,Netherlands,46,1,2,4,8,4,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 6
5. euthanasia: 10
6. paid_sexual_services: 8
7. capital_punishment: 7",0.3,gemini-2.5-flash,9,7,10,10,10,8,6
25,Netherlands,31,1,3,2,4,4,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 5
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,10,5
26,Netherlands,75,2,3,2,8,3,2,"1. homosexuality: 9
2. abortion: 5
3. divorce: 7
4. suicide: 2
5. euthanasia: 9
6. paid_sexual_services: 1
7. capital_punishment: 6",0.3,gemini-2.5-flash,5,6,7,9,9,1,2
27,Netherlands,83,2,3,4,3,4,2,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 9
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,10,9
28,Netherlands,32,1,3,2,5,3,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 10
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 8
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,10,10,10,8,7
29,Netherlands,68,2,3,2,7,3,3,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,10,7
30,Netherlands,74,1,3,2,2,4,2,"1. homosexuality: 10
2. abortion: 9
3. divorce: 9
4. suicide: 7
5. euthanasia: 10
6. paid_sexual_services: 8
7. capital_punishment: 1",0.3,gemini-2.5-flash,9,1,9,10,10,8,7
31,Netherlands,53,1,3,3,4,3,1,"1. homosexuality: 10
2. abortion: 10
3. divorce: 10
4. suicide: 8
5. euthanasia: 10
6. paid_sexual_services: 10
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,10,10,10,10,8
