persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,random_seed,model,rating_homosexuality,rating_abortion,rating_divorce,rating_suicide,rating_euthanasia,rating_prostitution,rating_death_penalty
0,Netherlands,53,1,1,2,4,4,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 5
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 3",0.3,42,gemini-2.5-flash,4,2,5,1,2,2,3
1,Netherlands,66,1,4,3,6,3,1,"1. homosexuality: 4
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 9
6. prostitution: 2
7. death_penalty: 1",0.3,42,gemini-2.5-flash,4,7,8,3,9,2,1
2,Netherlands,27,2,3,2,7,4,3,"1. homosexuality: 7
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 9
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,7,8,9,6,9,8,1
3,Netherlands,35,2,4,1,9,1,3,"1. homosexuality: 1
2. abortion: 1
3. divorce: 2
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,1,2,1,1,1,9
4,Netherlands,55,1,5,3,4,3,2,"1. homosexuality: 5
2. abortion: 2
3. divorce: 7
4. suicide: 1
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,5,2,7,1,3,1,1
5,Netherlands,80,1,4,5,10,3,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 2
5. euthanasia: 3
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,2,4,2,3,1,8
6,Netherlands,18,1,1,2,1,2,2,"1. homosexuality: 3
2. abortion: 1
3. divorce: 7
4. suicide: 2
5. euthanasia: 8
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,3,1,7,2,8,1,1
7,Netherlands,49,1,2,5,1,2,1,"1. homosexuality: 9
2. abortion: 7
3. divorce: 9
4. suicide: 2
5. euthanasia: 8
6. prostitution: 7
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,7,9,2,8,7,1
8,Netherlands,54,2,4,1,2,2,1,"1. homosexuality: 1
2. abortion: 7
3. divorce: 8
4. suicide: 7
5. euthanasia: 9
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,1,7,8,7,9,8,1
9,Netherlands,28,1,6,2,6,4,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 7",0.3,42,gemini-2.5-flash,4,2,4,1,2,2,7
10,Netherlands,54,2,5,3,5,2,3,"1. homosexuality: 9
2. abortion: 9
3. divorce: 8
4. suicide: 5
5. euthanasia: 10
6. prostitution: 8
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,9,8,5,10,8,1
11,Netherlands,53,2,6,1,4,2,2,"1. homosexuality: 9
2. abortion: 8
3. divorce: 8
4. suicide: 3
5. euthanasia: 9
6. prostitution: 6
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,8,8,3,9,6,1
12,Netherlands,37,2,4,4,4,1,2,"1. homosexuality: 7
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 5
6. prostitution: 1
7. death_penalty: 1",0.3,42,gemini-2.5-flash,7,2,4,1,5,1,1
