persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,model,rating_abortion,rating_death_penalty,rating_divorce,rating_euthanasia,rating_homosexuality,rating_prostitution,rating_suicide
0,South Korea,83,1,3,3,5,3,2,"1. homosexuality: 1
2. abortion: 3
3. divorce: 3
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,3,8,3,4,1,1,1
1,South Korea,41,2,3,3,7,3,2,"1. homosexuality: 1
2. abortion: 3
3. divorce: 5
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,3,9,5,2,1,1,1
2,South Korea,59,2,2,3,5,2,3,"1. homosexuality: 1
2. abortion: 4
3. divorce: 6
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 2
7. capital_punishment: 8",0.3,gemini-2.5-flash,4,8,6,4,1,2,1
3,South Korea,76,2,2,3,4,2,2,"1. homosexuality: 6
2. abortion: 7
3. divorce: 9
4. suicide: 3
5. euthanasia: 6
6. paid_sexual_services: 2
7. capital_punishment: 4",0.3,gemini-2.5-flash,7,4,9,6,6,2,3
4,South Korea,85,1,3,3,7,2,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,3,2,1,1,1
5,South Korea,74,2,1,3,6,4,3,"1. homosexuality: 2
2. abortion: 4
3. divorce: 5
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,4,8,5,7,2,1,2
6,South Korea,88,2,2,3,6,2,1,"1. homosexuality: 3
2. abortion: 6
3. divorce: 7
4. suicide: 4
5. euthanasia: 7
6. paid_sexual_services: 2
7. capital_punishment: 8",0.3,gemini-2.5-flash,6,8,7,7,3,2,4
7,South Korea,49,1,3,3,4,3,3,"1. homosexuality: 2
2. abortion: 6
3. divorce: 7
4. suicide: 1
5. euthanasia: 5
6. paid_sexual_services: 1
7. capital_punishment: 3",0.3,gemini-2.5-flash,6,3,7,5,2,1,1
8,South Korea,30,2,2,2,4,3,3,"1. homosexuality: 2
2. abortion: 6
3. divorce: 8
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 3",0.3,gemini-2.5-flash,6,3,8,7,2,1,2
9,South Korea,78,1,3,3,5,3,3,"1. homosexuality: 2
2. abortion: 4
3. divorce: 6
4. suicide: 1
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,4,7,6,7,2,1,1
10,South Korea,39,2,3,3,6,3,3,"1. homosexuality: 1
2. abortion: 4
3. divorce: 6
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,4,7,6,7,1,1,2
11,South Korea,21,2,2,5,2,3,3,"1. homosexuality: 2
2. abortion: 7
3. divorce: 8
4. suicide: 2
5. euthanasia: 7
6. paid_sexual_services: 3
7. capital_punishment: 2",0.3,gemini-2.5-flash,7,2,8,7,2,3,2
12,South Korea,36,2,2,3,4,3,3,"1. homosexuality: 3
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 7
6. paid_sexual_services: 2
7. capital_punishment: 3",0.3,gemini-2.5-flash,7,3,8,7,3,2,3
13,South Korea,31,2,3,3,6,2,2,"1. homosexuality: 2
2. abortion: 4
3. divorce: 5
4. suicide: 1
5. euthanasia: 6
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,4,7,5,6,2,1,1
14,South Korea,26,1,3,3,5,4,3,"1. homosexuality: 2
2. abortion: 6
3. divorce: 9
4. suicide: 1
5. euthanasia: 7
6. paid_sexual_services: 8
7. capital_punishment: 6",0.3,gemini-2.5-flash,6,6,9,7,2,8,1
15,South Korea,44,1,2,3,5,2,3,"1. homosexuality: 1
2. abortion: 3
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,3,7,4,2,1,1,1
