persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,random_seed,model,rating_homosexuality,rating_abortion,rating_divorce,rating_suicide,rating_euthanasia,rating_prostitution,rating_death_penalty
0,South Korea,53,1,1,2,4,4,1,"1. homosexuality: 4
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 3",0.3,42,gemini-2.5-flash,4,2,4,1,2,1,3
1,South Korea,66,1,4,3,6,3,1,"1. homosexuality: 4
2. abortion: 6
3. divorce: 7
4. suicide: 2
5. euthanasia: 5
6. prostitution: 2
7. death_penalty: 8",0.3,42,gemini-2.5-flash,4,6,7,2,5,2,8
2,South Korea,27,2,3,2,7,4,3,"1. homosexuality: 8
2. abortion: 7
3. divorce: 9
4. suicide: 3
5. euthanasia: 8
6. prostitution: 8
7. death_penalty: 7",0.3,42,gemini-2.5-flash,8,7,9,3,8,8,7
3,South Korea,35,2,4,1,9,1,3,"1. homosexuality: 1
2. abortion: 2
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,2,3,1,1,1,9
4,South Korea,55,1,5,3,4,3,2,"1. homosexuality: 6
2. abortion: 3
3. divorce: 8
4. suicide: 1
5. euthanasia: 4
6. prostitution: 1
7. death_penalty: 5",0.3,42,gemini-2.5-flash,6,3,8,1,4,1,5
5,South Korea,80,1,4,5,10,3,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 9",0.3,42,gemini-2.5-flash,1,2,4,1,1,1,9
6,South Korea,18,1,1,2,1,2,2,"1. homosexuality: 3
2. abortion: 1
3. divorce: 7
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 2",0.3,42,gemini-2.5-flash,3,1,7,1,1,1,2
7,South Korea,49,1,2,5,1,2,1,"1. homosexuality: 4
2. abortion: 6
3. divorce: 8
4. suicide: 2
5. euthanasia: 3
6. prostitution: 6
7. death_penalty: 2",0.3,42,gemini-2.5-flash,4,6,8,2,3,6,2
8,South Korea,54,2,4,1,2,2,1,"1. homosexuality: 1
2. abortion: 6
3. divorce: 5
4. suicide: 2
5. euthanasia: 7
6. prostitution: 6
7. death_penalty: 2",0.3,42,gemini-2.5-flash,1,6,5,2,7,6,2
9,South Korea,28,1,6,2,6,4,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,2,4,1,2,1,8
10,South Korea,54,2,5,3,5,2,3,"1. homosexuality: 7
2. abortion: 8
3. divorce: 9
4. suicide: 3
5. euthanasia: 6
6. prostitution: 7
7. death_penalty: 8",0.3,42,gemini-2.5-flash,7,8,9,3,6,7,8
11,South Korea,53,2,6,1,4,2,2,"1. homosexuality: 8
2. abortion: 6
3. divorce: 7
4. suicide: 2
5. euthanasia: 4
6. prostitution: 2
7. death_penalty: 5",0.3,42,gemini-2.5-flash,8,6,7,2,4,2,5
12,South Korea,37,2,4,4,4,1,2,"1. homosexuality: 7
2. abortion: 3
3. divorce: 5
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 3",0.3,42,gemini-2.5-flash,7,3,5,1,2,1,3
13,South Korea,26,2,3,5,7,3,2,"1. homosexuality: 8
2. abortion: 6
3. divorce: 7
4. suicide: 2
5. euthanasia: 6
6. prostitution: 1
7. death_penalty: 8",0.3,42,gemini-2.5-flash,8,6,7,2,6,1,8
14,South Korea,73,2,6,4,5,4,3,"1. homosexuality: 6
2. abortion: 6
3. divorce: 8
4. suicide: 3
5. euthanasia: 6
6. prostitution: 1
7. death_penalty: 7",0.3,42,gemini-2.5-flash,6,6,8,3,6,1,7
15,South Korea,59,2,2,5,7,2,1,"1. homosexuality: 3
2. abortion: 1
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 7
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,1,4,1,1,7,8
16,South Korea,81,2,7,5,8,2,2,"1. homosexuality: 8
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 7
6. prostitution: 9
7. death_penalty: 8",0.3,42,gemini-2.5-flash,8,8,9,6,7,9,8
17,South Korea,51,2,6,3,7,2,3,"1. homosexuality: 1
2. abortion: 3
3. divorce: 7
4. suicide: 2
5. euthanasia: 3
6. prostitution: 6
7. death_penalty: 8",0.3,42,gemini-2.5-flash,1,3,7,2,3,6,8
