persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,random_seed,model,rating_homosexuality,rating_abortion,rating_divorce,rating_suicide,rating_euthanasia,rating_prostitution,rating_death_penalty
0,United States,53,1,1,2,4,4,1,"1. homosexuality: 3
2. abortion: 2
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. prostitution: 2
7. death_penalty: 4",0.3,42,gemini-2.5-flash,3,2,6,1,2,2,4
1,United States,66,1,4,3,6,3,1,"1. homosexuality: 3
2. abortion: 4
3. divorce: 7
4. suicide: 2
5. euthanasia: 4
6. prostitution: 2
7. death_penalty: 8",0.3,42,gemini-2.5-flash,3,4,7,2,4,2,8
2,United States,27,2,3,2,7,4,3,"1.  homosexuality: 7
2.  abortion: 4
3.  divorce: 9
4.  suicide: 2
5.  euthanasia: 7
6.  prostitution: 8
7.  death_penalty: 8",0.3,42,gemini-2.5-flash,7,4,9,2,7,8,8
3,United States,35,2,4,1,9,1,3,"1. homosexuality: 1
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 10",0.3,42,gemini-2.5-flash,1,1,3,1,1,1,10
4,United States,55,1,5,3,4,3,2,"1. homosexuality: 3
2. abortion: 2
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 6",0.3,42,gemini-2.5-flash,3,2,6,1,2,1,6
5,United States,80,1,4,5,10,3,1,"1. homosexuality: 1
2. abortion: 1
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 1
7. death_penalty: 10",0.3,42,gemini-2.5-flash,1,1,4,1,1,1,10
6,United States,18,1,1,2,1,2,2,"1. homosexuality: 3
2. abortion: 2
3. divorce: 6
4. suicide: 2
5. euthanasia: 2
6. prostitution: 1
7. death_penalty: 2",0.3,42,gemini-2.5-flash,3,2,6,2,2,1,2
7,United States,49,1,2,5,1,2,1,"1. homosexuality: 9
2. abortion: 6
3. divorce: 9
4. suicide: 2
5. euthanasia: 3
6. prostitution: 7
7. death_penalty: 2",0.3,42,gemini-2.5-flash,9,6,9,2,3,7,2
8,United States,54,2,4,1,2,2,1,"1. homosexuality: 1
2. abortion: 7
3. divorce: 8
4. suicide: 5
5. euthanasia: 8
6. prostitution: 7
7. death_penalty: 2",0.3,42,gemini-2.5-flash,1,7,8,5,8,7,2
9,United States,28,1,6,2,6,4,1,"1. homosexuality: 3
2. abortion: 1
3. divorce: 4
4. suicide: 1
5. euthanasia: 1
6. prostitution: 2
7. death_penalty: 9",0.3,42,gemini-2.5-flash,3,1,4,1,1,2,9
10,United States,54,2,5,3,5,2,3,"1. homosexuality: 8
2. abortion: 8
3. divorce: 9
4. suicide: 6
5. euthanasia: 8
6. prostitution: 7
7. death_penalty: 7",0.3,42,gemini-2.5-flash,8,8,9,6,8,7,7
11,United States,53,2,6,1,4,2,2,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 2
5. euthanasia: 7
6. prostitution: 3
7. death_penalty: 1",0.3,42,gemini-2.5-flash,9,7,8,2,7,3,1
