persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,random_seed,model,rating_homosexuality,rating_abortion,rating_divorce,rating_suicide,rating_euthanasia,rating_prostitution,rating_death_penalty
0,United States,53,1,1,2,4,4,1,"1. **homosexuality**: 8
2. **abortion**: 4
3. **divorce**: 6
4. **suicide**: 1
5. **euthanasia**: 3
6. **prostitution**: 2
7. **death_penalty**: 5",0.3,42,llama-3.3-70b-versatile,8,4,6,1,3,2,5
1,United States,66,1,4,3,6,3,1,"1. **homosexuality**: 8
2. **abortion**: 5
3. **divorce**: 7
4. **suicide**: 2
5. **euthanasia**: 6
6. **prostitution**: 4
7. **death_penalty**: 5",0.3,42,llama-3.3-70b-versatile,8,5,7,2,6,4,5
2,United States,27,2,3,2,7,4,3,"1. **homosexuality**: 10
2. **abortion**: 8
3. **divorce**: 9
4. **suicide**: 2
5. **euthanasia**: 7
6. **prostitution**: 6
7. **death_penalty**: 3",0.3,42,llama-3.3-70b-versatile,10,8,9,2,7,6,3
3,United States,35,2,4,1,9,1,3,"1. **homosexuality**: 1
2. **abortion**: 1
3. **divorce**: 2
4. **suicide**: 1
5. **euthanasia**: 1
6. **prostitution**: 1
7. **death_penalty**: 8",0.3,42,llama-3.3-70b-versatile,1,1,2,1,1,1,8
4,United States,55,1,5,3,4,3,2,"1. **homosexuality**: 8
2. **abortion**: 5
3. **divorce**: 6
4. **suicide**: 1
5. **euthanasia**: 4
6. **prostitution**: 2
7. **death_penalty**: 6",0.3,42,llama-3.3-70b-versatile,8,5,6,1,4,2,6
5,United States,80,1,4,5,10,3,1,"1. **homosexuality**: 2
2. **abortion**: 3
3. **divorce**: 6
4. **suicide**: 1
5. **euthanasia**: 4
6. **prostitution**: 2
7. **death_penalty**: 8",0.3,42,llama-3.3-70b-versatile,2,3,6,1,4,2,8
6,United States,18,1,1,2,1,2,2,"1. **homosexuality**: 8
2. **abortion**: 4
3. **divorce**: 6
4. **suicide**: 1
5. **euthanasia**: 3
6. **prostitution**: 2
7. **death_penalty**: 5",0.3,42,llama-3.3-70b-versatile,8,4,6,1,3,2,5
7,United States,49,1,2,5,1,2,1,"1. **homosexuality**: 8
2. **abortion**: 4
3. **divorce**: 6
4. **suicide**: 2
5. **euthanasia**: 5
6. **prostitution**: 6
7. **death_penalty**: 3",0.3,42,llama-3.3-70b-versatile,8,4,6,2,5,6,3
8,United States,54,2,4,1,2,2,1,"1. **homosexuality**: 2
2. **abortion**: 3
3. **divorce**: 6
4. **suicide**: 1
5. **euthanasia**: 4
6. **prostitution**: 5
7. **death_penalty**: 8",0.3,42,llama-3.3-70b-versatile,2,3,6,1,4,5,8
9,United States,28,1,6,2,6,4,1,"1. **homosexuality**: 8
2. **abortion**: 4
3. **divorce**: 6
4. **suicide**: 2
5. **euthanasia**: 5
6. **prostitution**: 3
7. **death_penalty**: 7",0.3,42,llama-3.3-70b-versatile,8,4,6,2,5,3,7
